Passport,AD,AE,AF,AG,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FR,GA,GB,GD,GE,GH,GM,GN,GQ,GR,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NE,NG,NI,NL,NO,NP,NR,NZ,OM,PA,PE,PG,PH,PK,PL,PS,PT,PW,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SY,SZ,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VN,VU,WS,XK,YE,ZA,ZM,ZW
KI,90,90,e-visa,30,e-visa,e-visa,30,visa-required,90,visa-required,visa-required,90,180,visa-on-arrival,90,e-visa,90,e-visa,visa-on-arrival,e-visa,visa-required,visa-on-arrival,visa-required,90,e-visa,90,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,90,e-visa,visa-required,e-visa,visa-required,e-visa,30,e-visa,visa-on-arrival,90,90,90,e-visa,90,180,30,visa-required,90,90,visa-on-arrival,visa-required,90,e-visa,90,120,30,visa-required,e-visa,eta,90,e-visa,visa-required,90,e-visa,e-visa,90,visa-required,visa-on-arrival,visa-required,90,visa-required,90,90,90,visa-required,90,visa-required,e-visa,e-visa,visa-on-arrival,90,90,visa-free,visa-on-arrival,visa-required,90,e-visa,visa-on-arrival,,visa-on-arrival,eta,visa-required,30,visa-required,e-visa,visa-on-arrival,visa-required,42,90,eta,e-visa,90,90,90,90,e-visa,visa-required,90,90,90,visa-on-arrival,visa-on-arrival,visa-required,visa-required,e-visa,e-visa,visa-on-arrival,e-visa,90,90,visa-on-arrival,90,visa-required,30,visa-on-arrival,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,90,visa-on-arrival,visa-required,visa-required,visa-required,180,180,visa-on-arrival,30,e-visa,90,visa-free,90,visa-on-arrival,visa-required,e-visa,90,visa-required,visa-required,30,visa-required,visa-on-arrival,90,visa-required,90,30,90,90,visa-on-arrival,90,visa-on-arrival,e-visa,90,e-visa,e-visa,e-visa,e-visa,visa-required,e-visa,e-visa,e-visa,e-visa,visa-on-arrival,visa-required,90,visa-on-arrival,visa-required,visa-free,visa-on-arrival,visa-required,90,e-visa,e-visa,visa-required,visa-required,e-visa,90,30,e-visa,e-visa,90,60,90,visa-required,visa-required,90,90
KM,visa-required,e-visa,visa-required,e-visa,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,90,visa-on-arrival,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,90,visa-required,e-visa,visa-required,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,eta,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,21,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,30,visa-required,e-visa,visa-required,visa-required,e-visa,visa-on-arrival,90,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,e-visa,14,visa-required,visa-required,90,visa-required,e-visa,visa-required,e-visa,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,90,e-visa,visa-on-arrival,visa-required,,e-visa,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,visa-on-arrival,visa-on-arrival,visa-required,visa-on-arrival,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,e-visa,visa-on-arrival,e-visa,visa-required,visa-on-arrival,visa-on-arrival,90,visa-required,30,visa-on-arrival,visa-on-arrival,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,90,visa-required,e-visa,30,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,visa-required,30,e-visa,visa-required,90,visa-required,visa-required,30,visa-required,visa-required,visa-on-arrival,visa-required,visa-on-arrival,visa-on-arrival,eta,e-visa,e-visa,e-visa,e-visa,visa-required,e-visa,e-visa,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-on-arrival,visa-required,90,visa-required,visa-required,visa-required,visa-required,90,visa-required,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,e-visa,90,visa-on-arrival
KN,90,e-visa,visa-required,freedom-of-movement,90,e-visa,30,90,90,visa-required,visa-required,90,180,90,90,e-visa,90,visa-on-arrival,visa-on-arrival,e-visa,visa-required,visa-on-arrival,90,90,e-visa,90,30,visa-free,visa-required,e-visa,visa-required,visa-required,90,e-visa,90,e-visa,visa-required,90,30,30,visa-on-arrival,90,90,90,e-visa,90,freedom-of-movement,30,visa-required,90,90,visa-required,visa-required,90,e-visa,90,120,30,90,e-visa,eta,freedom-of-movement,90,90,90,e-visa,e-visa,90,90,visa-on-arrival,180,90,90,90,90,90,e-visa,visa-required,eta,e-visa,e-visa,visa-on-arrival,90,90,180,visa-on-arrival,visa-required,90,e-visa,visa-on-arrival,30,visa-on-arrival,,visa-required,eta,visa-required,90,visa-on-arrival,visa-on-arrival,freedom-of-movement,90,eta,e-visa,90,90,90,90,e-visa,visa-required,90,90,90,visa-on-arrival,visa-on-arrival,90,visa-required,visa-required,e-visa,visa-on-arrival,e-visa,90,90,visa-on-arrival,90,visa-required,30,visa-on-arrival,e-visa,visa-required,90,90,90,90,visa-on-arrival,visa-required,visa-required,e-visa,90,183,eta,30,e-visa,90,visa-free,90,visa-on-arrival,90,e-visa,90,90,90,30,visa-on-arrival,visa-on-arrival,90,visa-required,90,30,90,90,visa-on-arrival,90,visa-on-arrival,e-visa,180,e-visa,visa-free,180,e-visa,visa-required,e-visa,e-visa,e-visa,30,visa-on-arrival,visa-required,90,visa-on-arrival,visa-required,180,90,30,90,90,e-visa,visa-required,90,30,90,freedom-of-movement,90,e-visa,120,visa-on-arrival,90,visa-required,visa-required,90,90
KP,visa-required,e-visa,e-visa,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,visa-on-arrival,e-visa,visa-required,visa-required,visa-required,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,visa-required,21,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,30,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,90,e-visa,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,refused,eta,visa-free,visa-on-arrival,visa-required,visa-on-arrival,e-visa,,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,e-visa,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,e-visa,visa-required,visa-required,visa-on-arrival,visa-on-arrival,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,visa-free,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,90,e-visa,e-visa,visa-required,e-visa,visa-required,e-visa,e-visa,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,90,e-visa,e-visa,e-visa,90,visa-required,visa-required,visa-required,e-visa,e-visa
KR,90,90,refused,180,90,180,30,90,90,eta,30,90,90,visa-on-arrival,90,e-visa,90,visa-on-arrival,visa-on-arrival,e-visa,30,90,90,90,e-visa,90,10,90,eta,e-visa,visa-required,visa-required,90,e-visa,90,e-visa,30,90,90,e-visa,visa-on-arrival,90,90,90,e-visa,90,180,90,visa-required,90,90,visa-on-arrival,visa-required,90,visa-on-arrival,90,120,30,90,e-visa,eta,90,365,e-visa,visa-required,e-visa,e-visa,90,90,visa-on-arrival,30,90,90,90,90,90,visa-on-arrival,90,eta,visa-on-arrival,refused,14,90,90,90,visa-on-arrival,90,eta,30,visa-on-arrival,90,visa-on-arrival,eta,visa-required,,visa-on-arrival,30,30,visa-on-arrival,42,90,eta,e-visa,60,90,90,90,refused,90,90,90,90,visa-on-arrival,visa-on-arrival,90,visa-required,visa-on-arrival,90,90,e-visa,90,90,visa-on-arrival,visa-on-arrival,180,90,eta,visa-on-arrival,visa-required,e-visa,90,90,90,visa-on-arrival,visa-required,eta,14,90,90,e-visa,30,e-visa,90,visa-free,90,visa-on-arrival,30,90,90,90,60,visa-on-arrival,visa-on-arrival,visa-on-arrival,90,visa-required,90,90,90,90,visa-on-arrival,90,90,refused,90,e-visa,15,90,refused,30,e-visa,e-visa,90,30,visa-on-arrival,visa-required,90,visa-on-arrival,90,90,visa-on-arrival,90,visa-on-arrival,90,e-visa,90,90,30,90,90,90,45,120,visa-on-arrival,90,visa-required,30,30,visa-on-arrival
KW,visa-free,visa-free,e-visa,30,90,180,e-visa,visa-required,visa-required,visa-required,30,90,90,visa-on-arrival,visa-required,e-visa,visa-required,visa-free,visa-on-arrival,e-visa,visa-on-arrival,visa-required,visa-required,90,e-visa,90,3,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,e-visa,e-visa,visa-on-arrival,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,visa-required,21,30,visa-required,90,visa-required,180,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,30,visa-required,e-visa,eta,visa-required,365,e-visa,visa-required,e-visa,e-visa,visa-required,90,visa-on-arrival,31,30,90,visa-required,90,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,e-visa,15,visa-required,visa-required,visa-required,90,visa-required,eta,60,visa-on-arrival,visa-required,visa-on-arrival,eta,visa-required,eta,,30,visa-on-arrival,180,42,visa-free,eta,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,90,visa-required,e-visa,visa-required,visa-on-arrival,visa-on-arrival,visa-required,visa-required,e-visa,visa-on-arrival,30,e-visa,visa-required,90,visa-on-arrival,visa-on-arrival,visa-required,90,visa-on-arrival,e-visa,visa-required,e-visa,90,visa-required,visa-required,visa-on-arrival,visa-required,eta,visa-free,90,visa-required,e-visa,30,90,visa-required,visa-free,visa-required,visa-on-arrival,visa-required,visa-free,visa-required,e-visa,e-visa,visa-on-arrival,visa-free,visa-on-arrival,90,visa-free,visa-required,30,visa-required,visa-required,visa-on-arrival,visa-free,visa-on-arrival,e-visa,visa-free,e-visa,15,90,visa-on-arrival,30,e-visa,e-visa,60,30,visa-on-arrival,visa-required,90,visa-required,90,e-visa,visa-on-arrival,e-visa,visa-on-arrival,90,e-visa,visa-required,visa-required,30,visa-required,30,90,30,30,visa-on-arrival,90,visa-on-arrival,visa-required,90,visa-on-arrival
KZ,90,30,e-visa,180,90,180,e-visa,30,visa-required,visa-required,90,visa-required,28,visa-on-arrival,visa-required,e-visa,visa-required,visa-on-arrival,visa-on-arrival,e-visa,visa-required,e-visa,30,e-visa,e-visa,e-visa,visa-free,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,30,90,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,21,90,visa-required,90,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,visa-required,visa-required,30,visa-required,e-visa,visa-required,visa-required,365,visa-required,visa-required,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,e-visa,14,visa-required,visa-required,90,visa-required,30,visa-required,visa-required,e-visa,e-visa,14,visa-required,visa-required,visa-on-arrival,visa-on-arrival,visa-required,eta,90,visa-on-arrival,visa-required,visa-on-arrival,90,visa-required,eta,visa-required,,visa-on-arrival,visa-on-arrival,visa-required,visa-required,eta,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,30,visa-required,90,30,visa-on-arrival,visa-on-arrival,visa-required,visa-required,e-visa,90,14,e-visa,visa-required,visa-on-arrival,30,e-visa,visa-required,30,visa-on-arrival,visa-on-arrival,visa-required,e-visa,30,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,30,visa-required,visa-required,e-visa,30,e-visa,visa-required,visa-free,visa-required,visa-on-arrival,visa-required,30,visa-required,30,90,visa-on-arrival,visa-on-arrival,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,30,visa-on-arrival,e-visa,90,e-visa,e-visa,visa-required,visa-on-arrival,visa-required,e-visa,e-visa,60,visa-free,visa-on-arrival,visa-required,90,visa-required,90,visa-required,visa-on-arrival,visa-required,visa-on-arrival,90,e-visa,visa-required,visa-required,visa-free,visa-required,90,e-visa,30,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-on-arrival,visa-on-arrival
LA,visa-required,visa-required,e-visa,e-visa,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-on-arrival,visa-on-arrival,e-visa,30,e-visa,visa-required,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,visa-required,21,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,30,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,90,visa-required,30,visa-required,visa-required,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,eta,e-visa,30,visa-required,visa-on-arrival,e-visa,visa-required,visa-required,visa-on-arrival,e-visa,,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,14,30,visa-on-arrival,e-visa,visa-required,visa-required,visa-on-arrival,visa-on-arrival,visa-required,30,visa-on-arrival,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,30,e-visa,visa-required,visa-free,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,30,30,visa-required,visa-required,90,visa-required,visa-required,30,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,90,e-visa,e-visa,visa-required,e-visa,visa-required,visa-required,e-visa,30,e-visa,30,visa-required,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,eta,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,90,e-visa,30,visa-required,60,visa-required,visa-required,visa-required,visa-on-arrival,e-visa
LB,visa-required,visa-required,e-visa,e-visa,e-visa,visa-on-arrival,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,90,visa-required,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,e-visa,visa-required,e-visa,visa-required,e-visa,e-visa,e-visa,3,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,21,visa-required,visa-required,90,visa-required,90,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,30,visa-required,e-visa,visa-required,visa-required,365,e-visa,visa-required,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,e-visa,e-visa,visa-required,visa-required,90,visa-required,e-visa,visa-required,visa-required,visa-required,30,14,visa-required,visa-required,visa-required,90,visa-required,eta,e-visa,visa-on-arrival,visa-required,visa-on-arrival,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,,visa-required,visa-required,eta,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,90,e-visa,visa-required,visa-on-arrival,visa-on-arrival,e-visa,visa-required,90,visa-on-arrival,e-visa,visa-required,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,14,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,e-visa,visa-required,30,visa-required,visa-required,90,visa-required,visa-required,e-visa,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,90,e-visa,e-visa,e-visa,180,visa-required,e-visa,e-visa,e-visa,60,visa-on-arrival,visa-required,visa-required,visa-required,90,e-visa,visa-on-arrival,visa-required,e-visa,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,30,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,e-visa
LC,90,e-visa,visa-required,visa-free,e-visa,visa-on-arrival,30,90,90,visa-required,visa-required,90,180,visa-required,90,e-visa,90,visa-on-arrival,visa-on-arrival,e-visa,visa-required,visa-on-arrival,90,90,e-visa,90,visa-required,visa-free,visa-required,e-visa,visa-required,visa-required,90,e-visa,90,e-visa,visa-required,90,90,30,visa-on-arrival,90,90,90,e-visa,90,visa-free,30,visa-required,90,90,visa-on-arrival,visa-required,90,e-visa,90,120,30,90,e-visa,visa-required,visa-free,e-visa,visa-required,90,e-visa,e-visa,90,90,visa-on-arrival,180,90,90,90,90,90,visa-required,visa-required,eta,e-visa,e-visa,e-visa,90,90,visa-free,visa-on-arrival,visa-required,eta,e-visa,visa-on-arrival,90,visa-on-arrival,visa-free,visa-required,eta,visa-required,e-visa,visa-on-arrival,visa-required,,90,eta,visa-required,90,90,90,90,e-visa,visa-required,90,90,90,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,e-visa,90,e-visa,90,120,visa-on-arrival,90,visa-required,30,visa-on-arrival,visa-on-arrival,visa-required,e-visa,visa-required,90,90,visa-on-arrival,visa-required,visa-required,visa-required,90,90,eta,30,eta,90,visa-free,90,visa-on-arrival,visa-required,e-visa,90,visa-required,e-visa,30,visa-required,visa-on-arrival,visa-on-arrival,visa-required,90,30,90,90,visa-on-arrival,90,visa-on-arrival,e-visa,180,e-visa,e-visa,180,e-visa,30,visa-required,e-visa,e-visa,30,visa-on-arrival,visa-required,90,visa-on-arrival,e-visa,visa-free,visa-on-arrival,30,90,e-visa,e-visa,visa-required,visa-required,30,90,visa-free,e-visa,e-visa,120,visa-on-arrival,90,visa-required,visa-required,90,90
LI,visa-free,90,e-visa,180,90,180,visa-required,90,visa-free,eta,e-visa,90,180,visa-on-arrival,visa-free,e-visa,visa-free,visa-on-arrival,visa-on-arrival,e-visa,90,90,90,240,e-visa,90,30,visa-free,eta,e-visa,visa-required,visa-required,visa-free,e-visa,90,e-visa,30,180,90,e-visa,30,visa-free,visa-free,visa-free,e-visa,visa-free,180,30,visa-required,90,visa-free,visa-on-arrival,visa-required,visa-free,e-visa,visa-free,120,90,visa-free,e-visa,eta,90,365,visa-required,90,e-visa,e-visa,visa-free,90,visa-on-arrival,visa-required,90,90,visa-free,90,visa-free,visa-on-arrival,visa-free,eta,e-visa,e-visa,e-visa,visa-free,visa-free,90,visa-on-arrival,90,eta,60,visa-on-arrival,90,visa-on-arrival,eta,visa-required,eta,visa-on-arrival,30,visa-on-arrival,visa-on-arrival,42,,eta,visa-required,e-visa,visa-free,visa-free,visa-free,e-visa,30,visa-free,90,90,visa-on-arrival,visa-on-arrival,90,visa-required,visa-required,30,90,e-visa,visa-free,90,visa-on-arrival,visa-on-arrival,180,90,visa-on-arrival,visa-on-arrival,visa-required,e-visa,90,visa-free,visa-free,visa-on-arrival,visa-required,eta,e-visa,180,90,visa-on-arrival,30,e-visa,visa-free,visa-free,visa-free,visa-on-arrival,90,90,visa-free,90,e-visa,visa-on-arrival,visa-on-arrival,90,90,visa-required,visa-free,30,visa-free,visa-free,visa-on-arrival,visa-free,visa-on-arrival,e-visa,eta,e-visa,15,90,e-visa,visa-required,visa-required,e-visa,60,30,visa-on-arrival,visa-required,90,90,90,90,90,90,visa-on-arrival,90,visa-on-arrival,90,90,30,visa-free,30,90,e-visa,30,visa-on-arrival,90,visa-required,90,90,visa-on-arrival
LK,visa-required,visa-required,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,180,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,visa-on-arrival,e-visa,visa-required,e-visa,visa-required,90,e-visa,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,180,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,30,visa-required,e-visa,visa-required,90,visa-required,visa-required,90,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,90,visa-required,e-visa,visa-required,e-visa,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,eta,e-visa,visa-on-arrival,90,visa-on-arrival,eta,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,,e-visa,90,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,90,visa-on-arrival,visa-required,e-visa,e-visa,e-visa,visa-required,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,e-visa,visa-required,30,visa-required,visa-required,90,visa-required,visa-required,30,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,e-visa,e-visa,e-visa,visa-required,e-visa,visa-required,e-visa,e-visa,60,30,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,e-visa,visa-on-arrival,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,90,90,e-visa,120,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,e-visa
LR,visa-required,e-visa,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,visa-required,visa-required,visa-required,visa-required,90,visa-on-arrival,visa-required,visa-free,visa-required,e-visa,visa-on-arrival,90,visa-required,visa-on-arrival,visa-required,e-visa,e-visa,e-visa,visa-required,visa-required,visa-required,e-visa,90,visa-required,visa-required,90,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-free,visa-required,visa-required,visa-required,e-visa,visa-required,21,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,30,visa-required,e-visa,visa-required,visa-required,visa-required,90,90,visa-free,e-visa,visa-required,visa-required,visa-free,visa-required,e-visa,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,eta,e-visa,visa-on-arrival,visa-required,visa-on-arrival,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,eta,,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,visa-free,visa-required,visa-required,visa-on-arrival,e-visa,visa-required,visa-on-arrival,visa-on-arrival,e-visa,visa-required,e-visa,visa-on-arrival,visa-on-arrival,visa-free,visa-free,visa-required,visa-required,visa-required,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,30,e-visa,visa-required,visa-free,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,90,visa-required,visa-required,30,visa-required,visa-required,visa-free,visa-required,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa-required,e-visa,visa-free,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,visa-required,visa-required,30,visa-required,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,90,e-visa
LS,visa-required,e-visa,e-visa,180,e-visa,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-required,180,90,visa-required,e-visa,visa-required,visa-on-arrival,visa-on-arrival,90,visa-required,visa-on-arrival,visa-required,90,e-visa,90,visa-required,visa-free,visa-required,e-visa,visa-required,visa-required,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-required,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,e-visa,visa-required,180,visa-required,visa-required,90,visa-required,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,120,30,visa-required,e-visa,visa-required,90,e-visa,60,90,e-visa,e-visa,visa-required,visa-required,visa-on-arrival,14,14,visa-required,visa-required,90,visa-required,visa-required,visa-required,eta,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,180,visa-on-arrival,90,eta,e-visa,visa-on-arrival,90,visa-on-arrival,90,visa-required,eta,visa-required,e-visa,visa-required,visa-required,42,visa-required,eta,e-visa,,visa-required,visa-required,visa-required,e-visa,visa-required,visa-required,e-visa,visa-required,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,e-visa,visa-on-arrival,e-visa,visa-required,180,visa-on-arrival,90,visa-required,30,visa-on-arrival,90,visa-required,visa-on-arrival,visa-on-arrival,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,e-visa,visa-required,visa-required,eta,30,e-visa,visa-required,visa-free,visa-required,visa-on-arrival,visa-required,e-visa,visa-required,visa-required,visa-required,visa-on-arrival,visa-required,visa-required,90,visa-required,visa-required,30,visa-required,visa-required,visa-on-arrival,visa-required,visa-on-arrival,e-visa,visa-free,e-visa,e-visa,visa-required,e-visa,30,e-visa,e-visa,e-visa,e-visa,visa-on-arrival,visa-required,visa-required,visa-required,visa-required,visa-free,visa-on-arrival,visa-required,90,visa-required,90,visa-required,visa-required,visa-required,visa-required,90,visa-required,e-visa,120,visa-on-arrival,90,visa-required,30,90,90
